Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
78028,VN10DHY,Dennis Elite 2 3 Axle Bin,Diesel,144708,5859,Miles,7.06
78041,YG52PVF,LDV 400 Convoy Mbus T/L Welfare Bus,Diesel,0,0,Miles,0
78043,GN56NHB,Iveco 40C12 Minibus to 17 Seats,Diesel,22329,723,Miles,19.1
78051,YJ06AUT,Iveco 35S12 LWB HR Meeting Mobile Meeting room,Diesel,32137,0,Miles,0
78057,YD10TCJ,  Van Small,Diesel,65039,0,Kilometres,0
78058,YK60WKV,Mercedes Sprinter van Van Large,Diesel,220524,20511,Miles,20.45
78080,YO54AXP,Ford Tranist Minibus to 17st,Diesel,69115,1639,Miles,24.43
78084,YJ56UVD,Iveco 35S12 Van Large,Diesel,26628,1770,Miles,17.23
78092,HJ12URD,Ford Transit 350L tipper Tipper to 3.5t,Diesel,152419,6182,Miles,20.14
78369,YB57ZRO,Ford Transit 17st Minibus Minibus to 17 Seats,Diesel,36260,0,Miles,0
784464,YE58SYU,Mercedes  Econic 3 Axle Bin,Diesel,205257,11620,Kilometres,3.35
784467,YE58SYT,Mercedes Econic 3 Axle Bin,Diesel,176811,0,Kilometres,0
784499,YR09CXN,Mercedes Econic  3 Axle Bin,CNG,137023,6579,Kilometres,2.48
784500,YK53FLP,Iveco Eurocargo 3 Axle Bin,Diesel,161253,1529,Kilometres,6.04
78551,LN15KKC         ,  Large Sweeper,Diesel,35467,0,Miles,0
78552,LK15KKD         ,  Large Sweeper ,Diesel,0,0,Miles,0
78554,LN15KKE         ,  Large Sweeper,Diesel,31930,0,Miles,0
78555,LM12YUH         ,  Large Sweeper,Diesel,55347,0,Miles,0
78556,LN15KKF         ,  Large Sweeper   ,Diesel,78425,0,Miles,0
78557,LN15KKH         ,  Large Sweeper,Diesel,32546,0,Miles,0
78558,LN15KKJ         ,  Large Sweeper,Diesel,54235,0,Miles,0
78560,LJ65DPK         ,  Small Sweeper,Diesel,22746,3862,Miles,3.7
78561,LJ65FWG         ,  Small Sweeper,Diesel,34142,7755,Miles,4.51
78562,LJ65FWH         ,  Small Sweeper,Diesel,21738,3944,Miles,3.47
78563,LJ65FWK         ,  Small Sweeper,Diesel,36518,9170,Miles,5
78564,LJ65FWL         ,  Small Sweeper,Diesel,34257,5504,Miles,6.22
78565,LJ65FWM         ,  Small Sweeper,Diesel,25524,5099,Miles,4.47
78567,LJ65DMO,Johnson CX200 Small Sweeper,Diesel,1139,0,Hours,0
